cve_id,priority,epss,cvss,cvss_version,cvss_severity,kev,ransomware,kev_source,cpe,vendor,product,vector
CVE-2025-0070,Priority 2,0.00104,9.9,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-0066,Priority 2,0.00057,9.9,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-0063,Priority 2,0.00078,8.8,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2025-0061,Priority 2,0.00056,8.7,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N
CVE-2025-0058,Priority 2,0.00038,6.5,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N
CVE-2025-0069,Priority 2,0.0002,7.8,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-0055,Priority 2,0.00017,6.0,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N
CVE-2025-0067,Priority 2,0.00046,6.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L
CVE-2025-0056,Priority 2,0.00017,6.0,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N
CVE-2025-0059,Priority 2,0.00017,6.0,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N
CVE-2025-0057,Priority 4,0.00034,4.8,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N
CVE-2025-0053,Priority 4,0.00038,5.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N
CVE-2025-0068,Priority 4,0.00034,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N
CVE-2024-29131,Priority 2,0.00464,7.3,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L
CVE-2024-22126,Priority 2,0.00457,6.1,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_java:7.50:*:*:*:*:*:*:*,sap,netweaver_application_server_java,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
CVE-2025-0064,Priority 2,0.00039,8.7,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:N
CVE-2025-25243,Priority 2,0.00191,8.6,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N
CVE-2025-24876,Priority 2,0.00198,8.1,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2024-38819,Priority 1,0.55482,7.5,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N
CVE-2025-24868,Priority 2,0.00076,7.1,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L
CVE-2025-24875,Priority 2,0.00023,6.8,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2025-24874,Priority 2,0.00035,6.8,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2024-22126,Priority 2,0.00457,6.1,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_java:7.50:*:*:*:*:*:*:*,sap,netweaver_application_server_java,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
CVE-2025-24867,Priority 2,0.00085,6.1,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
CVE-2025-24870,Priority 2,0.00019,6.0,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N
CVE-2024-45216,Priority 1,0.92213,9.8,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-0054,Priority 4,0.00031,5.4,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
CVE-2025-25241,Priority 4,0.00029,5.4,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N
CVE-2025-23187,Priority 4,0.00062,5.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N
CVE-2025-23193,Priority 4,0.00035,5.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N
CVE-2023-24527,Priority 4,0.00205,5.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:netweaver_as_java_for_deploy_service:7.5:*:*:*:*:*:*:*,sap,netweaver_as_java_for_deploy_service,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N
CVE-2025-24869,Priority 4,0.00029,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N
CVE-2025-23190,Priority 4,0.00029,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N
CVE-2025-23191,Priority 4,0.00033,3.1,CVSS V31,LOW,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N
CVE-2025-27434,Priority 2,0.00033,8.8,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2025-24872,Priority 4,0.00035,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N
CVE-2024-38286,Priority 2,0.00535,8.6,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:a:apache:tomcat:*:*:*:*:*:*:*:*,apache,tomcat,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H
CVE-2025-26661,Priority 2,0.00043,8.8,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2025-24876,Priority 2,0.00198,8.1,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2024-39592,Priority 2,0.00128,7.7,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:a:sap:s4core:102:*:*:*:*:*:*:*,sap,s4core,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N
CVE-2025-26658,Priority 2,0.00034,6.8,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N
CVE-2025-25244,Priority 4,0.00022,5.7,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N
CVE-2025-26659,Priority 2,0.00031,6.1,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
CVE-2025-25242,Priority 2,0.00031,6.1,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
CVE-2025-27431,Priority 4,0.00027,5.4,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
CVE-2025-25245,Priority 4,0.00031,5.4,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N
CVE-2025-23194,Priority 4,0.00069,5.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N
CVE-2025-0071,Priority 4,0.00037,4.9,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N
CVE-2025-0062,Priority 4,0.00036,4.7,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N
